KOI,kepmag,rhostar,teff,rstar,mstar,logg,[M/H],Binary,TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,min_p,max_p,mean_p,range_p,log_range_p,normstd_p,dpp,mean_dpp,gapc,gini,logstd_p,zeta,mean_zeta,min_r,max_r,mean_r,range_r,std_r,normstd_r,logstd_r,r_rat,mean_rrat,gini_r,subearth,supearth,subnep,nepplus,N_first,N_second,res_frac,deltas,min_abs_delta,med_abs_delta,res_summary
2263,14.456,0.34557,6013,1.7,1.22,4.063,0.027,0,[ 9.47852438 15.59458181 29.96864759],[2.344 1.691 3.043],[-0.135 -0.139 -0.176],[0.162 0.139 0.176],[144.  89.  46.],[26.7 11.9 26.5],[20.   8.4 19.8],[7304.7 5073.  2552.5],3,9.47852438,29.96864759,18.34725126,20.49012321,0.499926413,0.468109707,[0.64525418 0.92173461],0.783494392,0.058751027,0.077510879,0.033755578,[1.35066937 0.25473294],0.802701157,1.691,3.043,2.359333333,1.352,0.552058169,0.233989052,0.105108581,[0.72141638 1.79952691],1.260471645,0.191014411,0,1,2,0,0,1,0.5,[-0.01284749 -0.0391327 ],0.012847495,0.025990095,[1.66666667 0.        ]
2298,13.831,1.04611,5190,1.04,0.85,4.329,0.186,1,[ 2.47241084 16.66710278 31.80591683],[0.715 1.382 1.231],[-0.058 -0.075 -0.092],[0.078 0.109 0.127],[525.  81.  41.],[ 9.  17.9 10.9],[ 7.7 12.8  9.2],[9068.2 2382.9 1237.5],3,2.47241084,31.80591683,16.98181015,29.33350599,1.10938728,0.705308856,[5.74123512 0.90830508],3.324770097,0.651176353,0.558749937,0.285842321,[0.52253565 0.30285504],0.412695345,0.715,1.382,1.109333333,0.667,0.285568828,0.257423823,0.125884169,[1.93286713 0.89073806],1.411802597,0.200420673,1,2,0,0,0,0,0,[ 1.24707837 -0.04584746],0.045847462,0.646462917,[0. 0.]
2352,10.421,0.52528,6347,1.45,1.14,4.218,-0.147,0,[ 5.6290675   8.2562501  13.39147403],[0.923 0.903 1.034],[-0.038 -0.044 -0.044],[0.053 0.064 0.057],[232. 164. 101.],[32.2 18.2 24.5],[23.3 14.5 18.3],[6406.3 3026.4 2911.3],3,5.6290675,13.39147403,9.092263877,7.76240653,0.376391927,0.354549221,[0.4667172  0.62198018],0.544348688,0.043641747,0.050268112,0.021856486,[0.42787544 1.17669519],0.802285311,0.903,1.034,0.953333333,0.131,0.057621369,0.060441996,0.025797421,[0.97833153 1.14507198],1.061701755,0.045804196,2,1,0,0,0,0,0,[-0.02218854 -0.02681189],0.022188536,0.024500214,[0. 0.]
2433,15.188,1.48005,5615,0.96,0.94,4.443,-0.006,0,[ 3.37375965  6.0632531  10.04380879 15.16213142 27.90426394 56.41581418 86.43086179],[1.206 1.441 2.313 2.406 1.903 2.423 2.252],[-0.101 -0.106 -0.162 -0.146 -0.142 -0.161 -0.199],[0.11  0.129 0.21  0.549 0.184 0.21  0.199],[334. 183. 113.  71.  43.  20.  14.],[11.1 12.4 28.8 28.5 12.8 16.4 11.2],[ 0.   7.9 24.  19.   9.2 11.7  7.2],[8457.7 5560.2 4935.6 4257.6 1909.2 1192.4  804.2],7,3.37375965,86.43086179,29.3419847,83.05710214,1.408554704,0.979655087,[0.79717992 0.65650495 0.50959977 0.84039191 1.02176321 0.53203252],0.726245379,0.027299073,0.070028096,0.045071183,[0.76326589 1.43034674 0.11302715 0.56976308 0.06389898 0.36124691],0.550258123,1.206,2.423,1.992,1.217,0.456244922,0.229038615,0.11255353,[1.19485904 1.60513532 1.04020752 0.79093932 1.27325276 0.92942633],1.138970049,0.14321572,0,2,5,0,3,1,0.666666667,[ 0.07830795 -0.00609703  0.00639985 -0.07980405  0.0108816   0.02135501],0.006097028,0.016118308,[0.         1.66666667 1.5        0.         2.         1.5       ]
2485,15.311,3.01978,4909,0.69,0.72,4.613,-0.239,0,[3.6008407  5.72716427 9.99116477],[1.18  1.207 1.358],[-0.071 -0.078 -0.094],[0.106 0.139 0.131],[296. 181. 102.],[17.9 16.  16.7],[14.5 12.8 13.3],[5100.8 3721.3 2456.1],3,3.6008407,9.99116477,6.439723247,6.39032407,0.443212212,0.41260301,[0.59050754 0.74452212],0.66751483,0.026659763,0.046180875,0.020075729,[0.91962453 1.0294303 ],0.974527416,1.18,1.358,1.248333333,0.178,0.078325532,0.062744084,0.026763654,[1.02288136 1.12510356],1.073992459,0.04753004,0,3,0,0,0,0,0,[-0.04569548  0.04671327],0.045695478,0.046204376,[0. 0.]
2579,15.147,1.21055,6049,1.08,1.1,4.41,0.028,0,[ 2.72960744  3.59647062 10.30132666],[1.302 1.329 1.394],[-0.072 -0.082 -0.102],[0.112 0.118 0.123],[491. 372. 126.],[18.4 16.2 12.6],[14.4 12.7  9.3],[11403.4  7440.6  3513.8],3,2.72960744,10.30132666,5.54246824,7.57171922,0.576792966,0.610482393,[0.31757797 1.86428773],1.090932847,0.823733901,0.369861175,0.171619206,[0.44649918 1.39080634],0.918652758,1.302,1.394,1.341666667,0.092,0.03861203,0.028779153,0.012423233,[1.02073733 1.04890895],1.034823141,0.022857143,0,3,0,0,1,0,0.5,[-0.01181653 -0.04523742],0.011816525,0.028526975,[1.33333333 0.        ]
2585,13.455,0.82998,5949,1.14,0.87,4.381,-0.339,0,[ 5.34182216  7.87845619 10.42309397],[0.966 0.764 0.99 ],[-0.046 -0.057 -0.1  ],[0.063 0.075 0.13 ],[246. 175. 124.],[19.2 10.5 11.2],[15.3  8.1  8.9],[7537.8 5644.8 2692.6],3,5.34182216,10.42309397,7.881124107,5.08127181,0.290307228,0.263213897,[0.47486306 0.32298685],0.398924958,0.084759807,0.054283186,0.023606784,[0.31761077 0.28830372],0.30295725,0.764,0.99,0.906666667,0.226,0.101355261,0.111788891,0.05080919,[0.79089027 1.29581152],1.043350894,0.083088235,3,0,0,0,1,0,0.5,[-0.01675796 -0.00775986],0.007759859,0.012258909,[0.         1.33333333]
2597,14.79,1.27588,5866,0.99,0.87,4.458,-0.291,0,[ 5.61355807  8.00503248 12.1307292 ],[1.294 1.384 1.476],[-0.087 -0.085 -0.094],[0.095 0.101 0.103],[241. 158. 109.],[15.2 15.6 15.3],[12.6 13.9 11.7],[5766.8 4740.6 3567.8],3,5.61355807,12.1307292,8.583106583,6.51717113,0.334648688,0.313620759,[0.42601758 0.51538788],0.470702729,0.020254806,0.030383537,0.013200989,[1.04196296 0.17914135],0.610552154,1.294,1.476,1.384666667,0.182,0.074302684,0.053661062,0.023342509,[1.06955178 1.06647399],1.068012883,0.043813192,0,3,0,0,1,0,0.5,[0.01858398 0.01025859],0.010258587,0.014421285,[0.  1.5]
2674,13.349,0.32992,5755,1.69,1.09,4.098,0.095,0,[  2.53575336  11.17280657 197.5112454 ],[1.39  1.471 9.546],[-0.075 -0.087 -0.261],[0.106 0.13  0.313],[513. 120.   7.],[ 25.5  17.  175.2],[ 19.6  12.3 125.4],[16821.5  5960.3   640.5],3,2.53575336,197.5112454,70.40660178,194.975492,1.891484818,1.277517936,[ 3.40610934 16.67785419],10.04198176,0.307850193,0.600967522,0.316991038,[0.88077032 0.17987926],0.530324786,1.39,9.546,4.135666667,8.156,3.825826301,0.925080914,0.431177241,[1.05827338 6.48946295],3.773868166,0.657370839,0,2,0,1,0,0,0,[0.46870311 4.89261806],0.468703114,2.680660588,[0. 0.]
2693,13.256,3.29447,4409,0.66,0.67,4.626,-0.042,0,[ 4.08141546  6.83440524 11.4194537 ],[0.84  0.855 0.791],[-0.034 -0.037 -0.04 ],[0.085 0.077 0.095],[320. 192. 118.],[36.9 29.1 22.9],[32.8 24.5 20.6],[6895.1 4143.5 3075. ],3,4.08141546,11.4194537,7.445091467,7.33803824,0.446834523,0.406536829,[0.67451839 0.67087746],0.672697927,1.46E-05,0.001088339,0.00047266,[1.44761781 1.47175551],1.459686661,0.791,0.855,0.828666667,0.064,0.027329268,0.032979809,0.014463356,[1.01785714 0.9251462 ],0.971501671,0.025744167,3,0,0,0,0,2,1,[0.00471103 0.00252648],0.002526479,0.003618756,[1.66666667 1.66666667]
