KOI,kepmag,rhostar,teff,rstar,mstar,logg,[M/H],Binary,TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,min_p,max_p,mean_p,range_p,log_range_p,normstd_p,dpp,mean_dpp,gapc,gini,logstd_p,zeta,mean_zeta,min_r,max_r,mean_r,range_r,std_r,normstd_r,logstd_r,r_rat,mean_rrat,gini_r,subearth,supearth,subnep,nepplus,N_first,N_second,res_frac,deltas,min_abs_delta,med_abs_delta,res_summary
41,11.197,0.43884,5857,1.53,1.1,4.103,0.098,0,[ 6.88707653 12.81590514 35.333574  ],[1.27  2.269 1.528],[-0.054 -0.068 -0.064],[0.081 0.128 0.106],[198. 101.  39.],[ 38.2 106.7  28.8],[27.5 68.6 18. ],[6359.2 5592.3 1934.7],3,6.88707653,35.333574,18.34551856,28.44649747,0.71015266,0.667944922,[0.86086289 1.75700964],1.308936265,0.181006678,0.194060521,0.085767976,[0.4848755  1.29255348],0.88871449,1.27,2.269,1.689,0.999,0.423431222,0.250699362,0.10592787,[1.78661417 0.67342442],1.230019295,0.197158082,0,2,1,0,0,0,0,[-0.06956855 -0.08099679],0.069568555,0.075282671,[0. 0.]
70,12.498,1.91702,5507,0.88,0.94,4.452,0.103,0,[ 3.6961217   6.09854476 10.85409146 19.57772139 77.6113425 ],[1.71  0.807 2.815 0.868 2.503],[-0.049 -0.038 -0.084 -0.044 -0.088],[0.073 0.057 0.099 0.057 0.124],[360. 219. 119.  66.  15.],[130.   24.8 252.8  17.2 100.5],[108.2  16.5 203.2  12.2  75.4],[7801.5 5525.4 4041.4 2093.1  936.3],5,3.6961217,77.6113425,23.56756436,73.9152208,1.322178933,1.169489131,[0.64998484 0.77978385 0.80371812 2.96426841],1.299438803,0.244134762,0.252481351,0.158292913,[1.38450771 0.84721998 0.73265196 1.0120541 ],0.994108439,0.807,2.815,1.7406,2.008,0.820922067,0.47163166,0.232932916,[0.47192982 3.488228   0.30834813 2.88364055],1.788036629,0.324658164,2,1,2,0,0,1,0.25,[-0.0100091   0.06787031  0.08223087  0.3214228 ],0.010009098,0.075050589,[1.66666667 0.         0.         0.        ]
82,11.492,2.84227,4911,0.72,0.8,4.571,0.102,0,[ 5.28689179  7.07134469 10.31172605 16.14567465 22.4100071  27.45362377],[0.461 0.575 1.177 2.175 0.601 0.833],[-0.029 -0.031 -0.038 -0.072 -0.042 -0.037],[0.037 0.05  0.08  0.101 0.056 0.058],[254. 180. 120.  82.  59.  50.],[ 15.8  22.4  81.6 242.7  11.9  27.5],[ 13.9  19.8  65.3 210.3   8.5  21.4],[5492.5 4730.1 3622.  2802.5 1138.3 1425.7],6,5.28689179,27.45362377,14.77987801,22.16673198,0.715399256,0.54563616,[0.33752401 0.45824118 0.56575869 0.38798827 0.22506091],0.394914613,0.056317611,0.05750264,0.03579652,[0.11174334 0.5467708  0.69738589 1.26780757 1.32972462],0.790686445,0.461,2.175,0.970333333,1.714,0.586644318,0.604580197,0.235831809,[1.2472885  2.04695652 1.84791844 0.27632184 1.38602329],1.360901719,0.364410855,4,1,1,0,2,1,0.6,[ 0.00314301 -0.02783921  0.04383913 -0.0085798  -0.01995127],0.003143005,0.019951269,[1.33333333 0.         0.         1.4        1.2       ]
85,11.018,0.58657,6213,1.44,1.25,4.219,0.122,0,[2.15490986 5.8599363  8.13120523],[1.46  2.619 1.539],[-0.045 -0.075 -0.056],[0.067 0.075 0.088],[625. 230. 164.],[ 83.  186.4  55.3],[ 61.7 149.3  41.2],[15560.3  7729.6  5213.2],3,2.15490986,8.13120523,5.38201713,5.97629537,0.576725814,0.457654676,[1.71934173 0.38759277],1.053467247,0.676441393,0.324268371,0.148079291,[1.25514617 1.2599175 ],1.257531834,1.46,2.619,1.872666667,1.159,0.528721939,0.282336386,0.115716946,[1.79383562 0.58762887],1.190732241,0.206301175,0,2,1,0,0,1,0.5,[-0.09355276 -0.00886231],0.008862309,0.051207533,[0.  1.4]
94,12.205,0.66796,6171,1.37,1.18,4.243,0.064,0,[ 3.74315826 10.42367242 22.34295404 54.32005919],[ 1.596  3.859 10.242  6.105],[-0.058 -0.106 -0.231 -0.157],[0.082 0.106 0.294 0.157],[170.  60.  30.  12.],[  49.7  204.4 1120.6  291.3],[ 31.5 136.5 703.  162.1],[5480. 2655. 1650.  856.],4,3.74315826,54.32005919,22.70746098,50.57690093,1.161722045,0.855644896,[1.78472661 1.14348198 1.43119415],1.453134249,0.024652447,0.087132699,0.046479736,[1.31907028 0.3764344  0.90384834],0.866451006,1.596,10.242,5.4505,8.646,3.192839058,0.585788287,0.310032642,[2.4179198  2.65405545 0.59607499],1.88935008,0.430908479,0,1,1,2,0,0,0,[-0.0717578   0.07174099 -0.18960195],0.071740992,0.071757796,[0. 0. 0.]
111,12.596,1.02446,5763,1.05,0.82,4.385,-0.409,0,[11.42754491 23.66832881 51.75535987],[2.375 2.265 2.63 ],[-0.07  -0.079 -0.081],[0.06  0.079 0.113],[117.  54.  25.],[165.5 112.8 116.9],[148.1  99.4  99.9],[4665. 2307. 1478.],3,11.42754491,51.75535987,28.9504112,40.32781496,0.656002396,0.58313887,[1.0711648  1.18669262],1.12892871,0.004218001,0.027132852,0.011787626,[0.19931052 0.4719654 ],0.335637957,2.265,2.63,2.423333333,0.365,0.152879764,0.06308656,0.027086014,[0.95368421 1.1611479 ],1.057416057,0.050206327,0,0,3,0,0,0,0,[0.0355824  0.09334631],0.035582402,0.064464355,[0. 0.]
115,12.791,1.29936,5932,1.03,0.99,4.394,-0.081,0,[3.43589876 5.41220432 7.1259213 ],[0.517 2.522 1.431],[-0.051 -0.083 -0.053],[0.051 0.113 0.077],[373. 246. 179.],[  8.7 166.7  47.1],[  7.4 163.5  39.8],[10834.2  6308.   4640.2],3,3.43589876,7.1259213,5.324674793,3.69002254,0.316800663,0.283156504,[0.57519319 0.31663937],0.44591628,0.188829099,0.089408294,0.038972482,[0.78436104 0.47450084],0.629430937,0.517,2.522,1.49,2.005,0.819600309,0.550067322,0.296573305,[4.87814313 0.56740682],2.722774977,0.448545861,1,1,1,0,1,0,0.5,[ 0.05012879 -0.01252047],0.012520471,0.031324631,[0.         1.33333333]
116,12.882,1.23112,5862,1.05,0.96,4.372,-0.08,0,[ 6.16489698 13.57077256 23.98008894 43.84443349],[0.795 2.384 1.078 2.622],[-0.057 -0.088 -0.06  -0.107],[0.062 0.103 0.072 0.225],[208. 102.  55.  31.],[14.4 88.4 17.1 83.7],[11.6 76.8 10.9 65.6],[6246.6 2840.4 2653.5 1297.6],4,6.16489698,43.84443349,21.89004799,37.67953651,0.851988639,0.647204587,[1.20129754 0.76703934 0.82836826],0.932235046,0.037296482,0.074914662,0.041984186,[0.50270029 0.91114231 0.62157768],0.678473425,0.795,2.622,1.71975,1.827,0.794085756,0.461744879,0.227544862,[2.99874214 0.45218121 2.432282  ],1.96106845,0.328875321,1,1,2,0,0,0,0,[ 0.10064877  0.0602236  -0.08581587],0.060223602,0.08581587,[0. 0. 0.]
117,12.487,0.56932,5861,1.44,1.22,4.12,0.302,0,[ 3.18002806  4.90143997  7.95826316 14.74916437],[1.585 1.712 1.019 2.996],[-0.062 -0.065 -0.055 -0.101],[0.093 0.115 0.072 0.156],[342. 219. 133.  69.],[ 50.4  50.6  14.7 107.4],[35.  33.2 10.2 66.2],[8154.8 5300.5 3638.1 3656.7],4,3.18002806,14.74916437,7.69722389,11.56913631,0.666336463,0.573769407,[0.54131972 0.62365819 0.85331448],0.672764133,0.03935507,0.062171499,0.033725415,[0.45798874 1.18967274 0.51570266],0.721121384,1.019,2.996,1.828,1.977,0.723050828,0.395542028,0.169633402,[1.08012618 0.59521028 2.94013739],1.538491284,0.276167031,0,3,1,0,1,0,0.333333333,[ 0.02754648 -0.02580508 -0.07334276],0.025805085,0.027546482,[1.5 0.  0. ]
137,13.96,0.5075,6821,1.54,1.33,4.184,-0.173,0,[ 3.5047162   7.64156004 14.85892272],[1.589 4.212 5.077],[-0.06  -0.101 -0.127],[0.078 0.132 0.162],[387. 180.  93.],[ 67.5 437.5 456.8],[ 50.8 366.3 399.4],[6353. 5153. 2870.],3,3.5047162,14.85892272,8.668399653,11.35420652,0.627334468,0.541260032,[1.18036486 0.94448812],1.062426489,0.020447801,0.057184278,0.024872111,[0.45841298 0.1763237 ],0.31736834,1.589,5.077,3.626,3.488,1.483033603,0.40899989,0.226556078,[2.65072373 1.20536562],1.928044674,0.320647178,0,1,0,2,0,0,0,[ 0.09018243 -0.02775594],0.02775594,0.058969184,[0. 0.]
148,13.04,2.15706,5242,0.84,0.92,4.473,0.242,0,[ 4.77800429  9.67394317 42.89631119],[1.795 2.537 1.943],[-0.063 -0.079 -0.069],[0.074 0.094 0.104],[285. 141.  33.],[115.1 178.   66.8],[ 83.9 134.1  44.1],[6756. 4068. 1530.],3,4.77800429,42.89631119,19.11608622,38.1183069,0.953173412,0.885826428,[1.02468281 3.43421162],2.229447216,0.377884708,0.37305592,0.173312153,[0.07226474 0.87356294],0.472913842,1.795,2.537,2.091666667,0.742,0.320642411,0.153295176,0.064459481,[1.41337047 0.7658652 ],1.089617834,0.118247012,0,1,2,0,1,0,0.5,[0.01234141 0.47807054],0.012341407,0.245205973,[2. 0.]
152,13.914,0.8272,6388,1.32,1.24,4.305,0.057,0,[13.48455808 27.40222239 52.0908098  81.0636284 ],[3.399 3.64  7.102 2.908],[-0.121 -0.126 -0.208 -0.15 ],[0.133 0.126 0.227 0.21 ],[94. 52. 26. 16.],[ 80.8  79.2 243.5  19.4],[ 58.8  49.8 143.4  12.8],[4143. 2772. 1785.  492.],4,13.48455808,81.0636284,43.51030467,67.57907032,0.778989321,0.590992447,[1.03211868 0.90097026 0.55619828],0.829762406,0.06105737,0.086699855,0.049316644,[0.09335752 0.32974365 0.60624002],0.343113733,2.908,7.102,4.26225,4.194,1.660615003,0.389609948,0.150912277,[1.07090321 1.9510989  0.40946212],1.14382141,0.250708741,0,0,3,1,1,0,0.333333333,[ 0.01605934 -0.04951487  0.03746552],0.016059341,0.037465517,[2. 0. 0.]
156,13.738,2.67515,4473,0.73,0.73,4.578,0.215,0,[ 5.18856562  8.04132617 11.77613082],[1.359 1.742 2.713],[-0.038 -0.052 -0.063],[0.055 0.073 0.105],[256. 161. 115.],[ 56.3  77.5 163.5],[ 42.2  59.5 137.9],[5104. 3674. 2903.],3,5.18856562,11.77613082,8.33534087,6.5875652,0.355955308,0.323608368,[0.5498168  0.46445133],0.507134066,0.015568958,0.028320463,0.012303944,[0.54363709 0.45923436],0.501435723,1.359,2.713,1.938,1.354,0.569877765,0.294054574,0.125493221,[1.28182487 1.55740528],1.419615076,0.232886137,0,2,1,0,0,0,0,[ 0.0332112  -0.02369911],0.023699112,0.028455156,[0. 0.]
157,13.752,0.33685,6043,1.72,1.25,4.056,0.023,0,[ 10.30403028  13.0249172   22.68714058  31.99551734  46.68586636 118.3785683 ],[1.929 3.009 3.374 4.031 2.638 3.575],[-0.067 -0.083 -0.113 -0.138 -0.096 -0.123],[0.089 0.129 0.113 0.193 0.113 0.112],[132. 100.  58.  41.  30.  12.],[ 53.8 119.3 122.7 128.   59.   83.1],[ 41.   94.9  94.  102.3  40.5  57.5],[4569. 3753. 2675. 1504. 1612.  843.],6,10.30403028,118.3785683,40.51267334,108.074538,1.060265957,0.910267158,[0.26406045 0.74182609 0.41029308 0.45913772 1.53564039],0.682191547,0.213096213,0.170889747,0.106836525,[0.63896525 1.04407454 1.31184647 0.53398717 1.04641762],0.915058212,1.929,4.031,3.092666667,2.102,0.67824594,0.219307806,0.104539607,[1.55987558 1.12130276 1.19472436 0.65442818 1.35519333],1.177104843,0.147510239,0,0,5,1,1,1,0.4,[ 0.01124836  0.04509565  0.0073522  -0.02724152 -0.15478654],0.007352199,0.027241517,[1.25 0.   1.4  0.   0.  ]
168,13.376,0.36092,7678,1.96,1.95,4.141,0.496,0,[ 7.10694344 10.74246051 15.27444881],[1.715 3.031 2.15 ],[-0.07  -0.091 -0.084],[0.084 0.098 0.103],[189. 126.  90.],[33.8 95.3 40.3],[21.7 64.2 31.1],[7921. 6516. 4469.],3,7.10694344,15.27444881,11.04128425,8.16750537,0.332282688,0.302596909,[0.51154439 0.42187619],0.466710291,0.020791867,0.030567797,0.013281114,[0.13540635 1.11109107],0.62324871,1.715,3.031,2.298666667,1.316,0.547442742,0.238156645,0.102392117,[1.76734694 0.70933685],1.238341896,0.190835267,0,1,2,0,1,0,0.5,[0.00769626 0.01562585],0.007696262,0.011661056,[1.5 0. ]
191,14.991,1.79424,5459,0.91,0.93,4.454,0.1,1,[ 0.70862073  2.41840732  6.02228169 15.35876634 38.65214986],[ 1.255  2.356  1.297 11.105  2.163],[-0.078 -0.121 -0.114 -0.418 -0.132],[0.14  0.154 0.137 0.453 0.144],[1435.  420.  177.   71.   28.],[ 30.2  68.8  11.8 812.6  24.8],[ 21.1  52.9   0.  695.   13.8],[21114.9  8381.2  2441.4  2470.3  1276.6],5,0.70862073,38.65214986,12.63204519,37.94352913,1.736759802,1.105266659,[2.41283739 1.49018502 1.55032347 1.51661813],1.742491003,0.020569406,0.085131316,0.057369185,[1.24334943 0.98682717 1.06491996 1.02191472],1.079252822,1.255,11.105,3.6352,9.85,3.761227693,1.03466871,0.383458634,[1.87729084 0.55050934 8.56206631 0.19477713],2.796160902,0.571055238,0,2,2,1,0,0,0,[ 0.13761246 -0.16993833 -0.14989218 -0.16112729],0.137612462,0.155509733,[0. 0. 0. 0.]
232,14.605,0.28793,5711,1.73,1.09,3.99,0.031,0,[ 5.76616198 12.46600663 21.58716169 37.99502171 56.26000307],[2.387 5.9   2.298 2.526 2.336],[-0.089 -0.195 -0.09  -0.116 -0.091],[0.097 0.195 0.117 0.139 0.137],[237. 108.  63.  36.  25.],[ 65.6 304.5  34.   37.8  29.7],[ 47.7 236.8  22.4  24.7  20.4],[7420. 4565. 2465. 1995. 1558.],5,5.76616198,56.26000307,26.81487102,50.49384109,0.989312913,0.681198326,[1.16192446 0.73168219 0.76007491 0.48072038],0.783600487,0.065092169,0.096808159,0.058544579,[0.41807656 1.10014079 0.94697937 0.24063408],0.6764577,2.298,5.9,3.0894,3.602,1.407421984,0.455564829,0.161493064,[2.47172183 0.38949153 1.09921671 0.92478226],1.221303082,0.239334499,0,0,4,1,1,0,0.25,[ 0.08096223  0.03900932  0.05604495 -0.01285308],0.012853079,0.047527131,[0.  0.  0.  1.5]
238,14.061,0.69333,6154,1.32,1.08,4.287,-0.072,0,[ 17.23237226  26.69546815 362.9982898 ],[3.026 1.542 2.139],[-0.123 -0.106 -0.141],[0.146 0.116 0.183],[75. 48.  4.],[64.1 13.4 13. ],[54.  10.9 11.9],[3004.4 1877.3  402.5],3,17.23237226,362.9982898,135.6420434,345.7659175,1.323559511,1.185558339,[ 0.54914644 12.59774954],6.573447991,0.98605051,0.79545031,0.519423897,[0.53697634 0.23813777],0.387557054,1.542,3.026,2.235666667,1.484,0.609684253,0.27270803,0.120658923,[0.50958361 1.38715953],0.948371571,0.221261369,0,1,2,0,0,0,0,[0.03276429 3.53258318],0.032764294,1.782673737,[0. 0.]
241,14.139,2.63403,4970,0.75,0.71,4.613,-0.443,0,[ 3.41044229 13.82141149 30.95084894],[0.869 2.048 1.285],[-0.064 -0.081 -0.089],[0.135 0.144 0.157],[311.  75.  36.],[22.5 75.3 23.2],[19.2 64.6 20.5],[7690.6 2508.1 1588.1],3,3.41044229,30.95084894,16.06090091,27.54040665,0.957861861,0.706952489,[3.0526742  1.23934068],2.146007439,0.224014959,0.288196001,0.130179632,[0.9827449  0.57935807],0.781051486,0.869,2.048,1.400666667,1.179,0.48822422,0.348565602,0.15449277,[2.35673188 0.62744141],1.492086641,0.280580676,1,1,1,0,0,0,0,[0.3508914  0.11967034],0.119670338,0.235280869,[0. 0.]
245,9.705,2.26554,5346,0.79,0.79,4.552,-0.236,0,[13.36703858 21.30180117 39.79220971],[0.345 0.732 1.937],[-0.053 -0.029 -0.061],[0.031 0.048 0.066],[102.  62.  35.],[  8.8  32.4 179.5],[  0.   29.9 175.6],[2205.6 1865.9 1215.6],3,13.36703858,39.79220971,24.82034982,26.42517113,0.473762855,0.446053769,[0.59360662 0.8680209 ],0.730813758,0.068289303,0.079273196,0.03452745,[0.94614801 0.456138  ],0.701143001,0.345,1.937,1.004666667,1.592,0.677926414,0.674777452,0.32438657,[2.12173913 2.64617486],2.383956997,0.528201725,2,0,1,0,0,0,0,[-0.04383603 -0.06598955],0.043836028,0.05491279,[0. 0.]
248,15.264,3.56517,4096,0.62,0.61,4.635,0.053,0,[ 2.5765741   7.20386128 10.91276664 18.59617273],[1.811 2.606 2.325 1.777],[-0.071 -0.101 -0.103 -0.087],[0.065 0.092 0.134 0.095],[514. 186. 121.  71.],[ 63.6 101.1  57.4  27.6],[48.3 82.7 42.7 20.6],[8067. 4127. 1823. 1542.],4,2.5765741,18.59617273,9.822343688,16.01959863,0.858380935,0.596964395,[1.79590689 0.51484964 0.70407499],1.00494384,0.260827993,0.212983065,0.11642221,[1.32953478 0.173056   1.26090975],0.921166842,1.777,2.606,2.12975,0.829,0.350346525,0.164501244,0.071195142,[1.43898399 0.89217191 0.76430108],1.031818991,0.117423798,0,2,2,0,1,0,0.333333333,[-0.06803104  0.00989976  0.022445  ],0.009899758,0.022444995,[0.  1.5 0. ]
250,15.473,3.87032,4124,0.59,0.59,4.655,-0.068,0,[ 3.54390988 12.28301501 17.25119579 46.82770316],[1.349 3.176 2.741 2.366],[-0.061 -0.162 -0.156 -0.128],[0.066 0.108 0.144 0.14 ],[355. 108.  73.  29.],[ 38.2 137.2  68.6  32.4],[ 22.3 104.5  53.4  24.2],[5940. 2558. 1393.  555.],4,3.54390988,46.82770316,19.97645596,43.28379328,1.121020187,0.813990412,[2.46595016 0.40447567 1.71446129],1.528295707,0.304841107,0.271787101,0.168230611,[1.2165696  1.4170097  1.25017921],1.294586171,1.349,3.176,2.408,1.827,0.675269946,0.280427718,0.142303838,[2.35433655 0.86303526 0.86318862],1.360186809,0.202657807,0,1,3,0,0,1,0.333333333,[ 0.15531672  0.00319691 -0.09517957],0.00319691,0.09517957,[0.  1.4 0. ]
260,10.5,0.56729,6271,1.4,1.11,4.303,-0.154,0,[ 10.4956701   21.86964346 100.2830677 ],[1.459 1.585 2.643],[-0.045 -0.061 -0.075],[0.062 0.095 0.113],[126.  64.  15.],[48.7 43.5 81.9],[50.4 37.5 51.9],[5347.1 2997.7 1362.8],3,10.4956701,100.2830677,44.21612709,89.7873976,0.980217439,0.902754643,[1.08368244 3.58549166],2.334587049,0.363373341,0.375130291,0.174414679,[0.23166133 0.83670533],0.534183332,1.459,2.643,1.895666667,1.184,0.53094214,0.280082015,0.115187138,[1.08636052 1.66750789],1.376934204,0.208194127,0,2,1,0,0,0,0,[0.04184122 0.52849722],0.041841219,0.285169219,[0. 0.]
271,11.485,0.67028,6126,1.38,1.25,4.23,0.225,0,[14.43599649 29.39325463 48.63035512],[1.447 2.522 2.568],[-0.081 -0.093 -0.1  ],[0.097 0.118 0.167],[95. 50. 27.],[22.  69.7 53.9],[24.1 62.  49.8],[2422. 2081. 1593.],3,14.43599649,48.63035512,30.81986875,34.19435863,0.527460673,0.454128768,[1.03610846 0.6544733 ],0.845290884,0.093467868,0.103407859,0.045130992,[0.10455024 1.41616139],0.760355818,1.447,2.568,2.179,1.121,0.517942725,0.237697442,0.116516964,[1.74291638 1.01823949],1.380577936,0.171485391,0,1,2,0,1,1,1,[ 0.01805423 -0.00731602],0.007316017,0.012685124,[2.         1.66666667]
279,11.684,0.45784,6296,1.61,1.33,4.22,0.159,0,[ 7.51430567 15.41313164 28.45491114],[0.975 2.655 6.146],[-0.089 -0.111 -0.184],[0.082 0.141 0.201],[183.  82.  47.],[  9.8  55.2 244.7],[  8.2  43.6 193.5],[7358.4 4191.5 2950.2],3,7.51430567,28.45491114,17.12744948,20.94060547,0.578268376,0.504131185,[1.05117177 0.84614729],0.948659526,0.020359866,0.052606543,0.022875759,[0.14604207 0.54548203],0.345762053,0.975,6.146,3.258666667,5.171,2.153775032,0.66093751,0.345667899,[2.72307692 2.31487759],2.518977256,0.528948445,1,0,1,1,1,0,0.5,[ 0.02558588 -0.07692636],0.025585884,0.05125612,[2. 0.]
282,11.529,0.89108,5887,1.14,0.93,4.354,-0.155,0,[ 8.45738906 27.50869526 87.51723509],[1.007 2.889 1.333],[-0.042 -0.078 -0.101],[0.064 0.117 0.109],[157.  48.  13.],[ 31.  190.3  12.2],[ 24.5 137.7  10.9],[4571.6 2393.   285.2],3,8.45738906,87.51723509,41.16110647,79.05984603,1.014857279,0.818462731,[2.25262266 2.18143897],2.217030812,0.000293161,0.011063569,0.004805117,[1.33178098 1.37523902],1.353510001,1.007,2.889,1.743,1.882,0.821200747,0.471142138,0.198741531,[2.86891758 0.46140533],1.665161454,0.359915854,0,2,1,0,0,0,0,[0.08420755 0.06047966],0.060479656,0.072343604,[0. 0.]
283,11.525,1.51463,5785,1,1.08,4.413,0.178,0,[ 9.48820239 16.09195471 25.51746034],[0.723 2.04  0.824],[-0.081 -0.077 -0.057],[0.081 0.084 0.068],[144.  82.  52.],[ 8.2 84.9 13.5],[ 9.  98.4 10.6],[2004.8 2305.9 1802. ],3,9.48820239,25.51746034,17.03253915,16.02925795,0.429653509,0.386180169,[0.69599615 0.58572782],0.640861987,0.015047206,0.033600731,0.014600168,[1.31036868 0.87816717],1.094267927,0.723,2.04,1.195666667,1.317,0.598455976,0.50052075,0.206320627,[2.82157676 0.40392157],1.612749166,0.367159186,2,0,1,0,0,0,0,[ 0.01759769 -0.04856331],0.017597689,0.033080497,[0. 0.]
284,11.818,1.27657,5908,1.04,0.93,4.407,-0.193,1,[  6.1781812    6.41490683  18.01013824 110.2872308 ],[1.056 1.15  1.394 1.264],[-0.086 -0.09  -0.119 -0.126],[0.15  0.169 0.209 0.148],[168. 149.  58.   8.],[43.5 51.1 43.3 16.4],[33.6 39.2 33.8 10. ],[4705.9 4135.  1684.6  335. ],4,6.1781812,110.2872308,35.22261427,104.1090496,1.251664591,1.23788906,[0.03831639 1.80754479 5.12361934],2.323160174,0.643426231,0.510087053,0.332203772,[0.29546636 1.34029009 0.58552359],0.74042668,1.056,1.394,1.216,0.338,0.126435754,0.103976772,0.045122027,[1.08901515 1.21217391 0.90674319],1.06931075,0.077302632,0,4,0,0,0,0,0,[-0.13473634 -0.06415174  1.04120645],0.064151737,0.134736338,[0. 0. 0.]
285,11.054,0.13137,6997,2.63,1.76,3.834,0.012,0,[13.74883666 26.72313369 49.35688702],[3.652 2.47  2.02 ],[-0.109 -0.085 -0.084],[0.193 0.123 0.152],[99. 53. 27.],[167.5  67.4  35. ],[114.9  39.6  20.6],[5004.  3536.7 2274. ],3,13.74883666,49.35688702,29.94295246,35.60805036,0.555081808,0.49140568,[0.94366508 0.84697227],0.895318677,0.005205432,0.025508324,0.011081429,[0.17909401 0.54202858],0.360561293,2.02,3.652,2.714,1.632,0.688238331,0.253588184,0.107617696,[0.67634173 0.81781377],0.747077748,0.200442152,0,0,3,0,0,0,0,[-0.02816746 -0.07651386],0.028167461,0.052340662,[0. 0.]
314,12.925,4.8643,3975,0.54,0.53,4.707,-0.13,0,[10.31305565 13.78108283 23.08898942],[0.632 1.48  1.321],[-0.03  -0.043 -0.047],[0.043 0.072 0.062],[127.  99.  56.],[ 22.  112.8  57.4],[ 14.3 112.7  59.5],[2348. 2137.  929.],3,10.31305565,23.08898942,15.7277093,12.77593377,0.350017563,0.342982335,[0.33627543 0.67541185],0.505843636,0.242663442,0.112606785,0.049190915,[0.0787415  1.44173436],0.760237929,0.632,1.48,1.144333333,0.848,0.368043778,0.321622876,0.166178241,[2.34177215 0.89256757],1.61716986,0.247014273,1,2,0,0,1,1,1,[0.00220657 0.00524711],0.002206569,0.003726838,[1.33333333 1.66666667]
316,12.701,1.3495,5635,1.05,1.08,4.281,0.33,0,[  7.30570359  15.77108417 157.0658105 ],[1.701 2.426 2.452],[-0.063 -0.082 -0.1  ],[0.098 0.115 0.13 ],[180.  86.   9.],[ 43.6 123.1  50.9],[33.3 89.6 34.2],[2592. 3484.  613.],3,7.30570359,157.0658105,60.04753275,149.7601069,1.332419612,1.143915073,[1.15873584 8.95910039],5.058918114,0.659835272,0.643709356,0.351752556,[0.4109716  0.33485505],0.372913323,1.701,2.452,2.193,0.751,0.348058424,0.158713372,0.074043146,[1.42621987 1.01071723],1.21846855,0.114151087,0,1,2,0,0,0,0,[0.07936792 2.31970013],0.07936792,1.199534025,[0. 0.]
339,13.057,0.32893,5705,1.76,1.22,4.102,0.333,0,[ 1.98035832 12.83440399 35.86596567],[6.602 6.626 6.369],[-3.391 -3.31  -3.392],[5.51  5.792 5.276],[535.  87.  30.],[71.9 35.  26.2],[52.9 26.5 18.2],[11582.9  2765.   1673.7],3,1.98035832,35.86596567,16.89357599,33.88560735,1.257938751,0.836316119,[5.48084938 1.79451743],3.637683406,0.258737803,0.397432471,0.18643837,[0.54736042 1.32824137],0.937800894,6.369,6.626,6.532333333,0.257,0.115908968,0.017743884,0.007754413,[1.00363526 0.9612134 ],0.982424332,0.013114252,0,0,0,3,0,0,0,[ 1.16028313 -0.06849419],0.06849419,0.614388658,[0. 0.]
343,13.203,1.03668,5756,1.1,0.98,4.325,0.047,0,[ 2.0241437   4.76170798 41.80844303],[1.71  2.453 1.528],[-0.057 -0.072 -0.074],[0.086 0.104 0.096],[659. 277.  31.],[ 88.4 138.5  27.3],[62.4 95.5 14. ],[11590.6  7734.2  1758.9],3,2.0241437,41.80844303,16.19809824,39.78429933,1.315022653,1.1201131,[1.3524555  7.78013587],4.566295684,0.531261646,0.577375038,0.299238871,[0.78181241 0.38559738],0.583704897,1.528,2.453,1.897,0.925,0.400110818,0.210917669,0.08816309,[1.43450292 0.62291072],1.028706823,0.16253734,0,2,1,0,0,0,0,[0.17622775 1.92671196],0.17622775,1.051469853,[0. 0.]
351,13.804,0.94954,6013,1.19,1.11,4.267,0.092,0,[  7.00823625   8.71984892  14.44913641  59.73725869  91.9400901  124.9218471  210.7307044  331.5973066 ],[ 1.286  1.513  1.11   2.843  2.623  2.641  7.614 10.777],[-0.071 -0.067 -0.117 -0.102 -0.114 -0.16  -0.194 -0.304],[0.106 0.096 0.117 0.133 0.149 0.516 0.233 0.304],[156. 113.  74.  15.  12.   4.   6.   3.],[ 19.2  22.7   8.3  43.5  34.4  24.4 232.4 355. ],[ 14.8  14.1   0.   29.1  24.9  18.2 101.8 249.1],[   0. 3888. 1938. 1078.  923.  529.  514.  358.],8,7.00823625,331.5973066,106.1380536,324.5890704,1.675002261,1.011476998,[0.24422873 0.65703977 3.13431343 0.53907448 0.35873096 0.68690032 0.57355952],0.884835316,0.258312803,0.238610163,0.164077683,[0.28356691 1.43406631 0.95714742 0.43490624 0.63718688 1.36744589 0.76950537],0.840546431,1.11,10.777,3.800875,9.667,3.272159892,0.860896476,0.358825741,[1.17651633 0.73364177 2.56126126 0.92261695 1.00686237 2.88299886 1.41541897],1.528473788,0.485400448,0,3,3,2,3,2,0.714285714,,0.004617012,0.019048222,
