KOI,kepmag,rhostar,mstar,logg,[M/H],TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,minper,maxper,meanper,perrange,lograngep,normstdp,meandpp,gapc,gini,qdisp,meanzeta,minrad,maxrad,meanrad,radrange,stdr,normstdr,qdispr,gini_r,subearth,supearth,subnep,nepplus,
1895,14.898,2.43906,0.82,4.57,-0.171,[ 8.45747329 17.28125508 32.13408541],[2.425 2.645 2.366],[-0.14  -0.176 -0.187],[0.21  0.313 0.258],[164.  79.  43.],[21.8 20.3 11.8],[30.9 25.3 13.9],[3401.6 2083.  1073.4],3,8.45747329,32.13408541,19.29093792666667,23.676612119999998,0.579725308779019,0.5064470317578376,0.9513940898088835,0.016250190824900337,0.04710361863002307,0.020477672564233804,0.3075193500950467,2.366,2.645,2.478666666666667,0.2789999999999999,0.12005646819541026,0.04843590701805147,0.02077028335605323,0.03752017213555674,0,0,3,0,
1905,14.017,3.10496,0.74,4.59,-0.124,[ 7.62636346 15.99569913 34.21109238],[1.169 1.011 1.117],[-0.059 -0.057 -0.071],[0.089 0.085 0.111],[168.  81.  40.],[32.5 20.  20.7],[30.7 19.1 14. ],[3817.4 2163.  1434. ],3,7.62636346,34.21109238,19.277718323333332,26.584728919999996,0.6518494424858281,0.5757174654747482,1.1180948709878158,0.0005530030740375033,0.00976033382183273,0.004239044211074078,0.3159469352682355,1.011,1.169,1.099,0.15800000000000014,0.06574698979167544,0.059824376516538165,0.02634851676654921,0.047922353654837775,0,3,0,0,
1909,12.776,1.4377,1.02,4.411,0.013,[ 5.47031904 12.75800293 25.09843925],[1.061 1.378 1.302],[-0.038 -0.052 -0.066],[0.06  0.062 0.098],[235. 104.  55.],[32.7 41.6 21.3],[25.3 32.7 19.2],[6628.7 3584.2 1389.2],3,5.47031904,25.09843925,14.442253739999998,19.62812021,0.6616340596577805,0.560934929286714,1.1497465236960844,0.04042767242260746,0.0848827060235236,0.036986358076934185,0.424818125311368,1.061,1.378,1.247,0.31699999999999995,0.13513203419865574,0.1083657050510471,0.04883507693026158,0.08473670141673346,0,3,0,0,
1916,13.598,0.32065,1.26,4.367,0.204,[ 2.02482998  9.5999319  20.67860451],[4.24  8.836 9.416],[-2.074 -4.522 -4.7  ],[3.851 6.782 8.225],[670. 143.  63.],[20.2 52.  42.6],[16.  32.3 26.1],[14922.4  5002.5  2485.9],3,2.02482998,20.67860451,10.767788796666666,18.65377453,1.0091326647251384,0.7113823539807645,2.447570879982521,0.3449340403762145,0.37520165406057326,0.17445265407405414,0.6011655521124415,4.24,9.416,7.497333333333334,5.176,2.315421535895546,0.3088326786273625,0.1593321484870797,0.23012626711719722,0,0,0,3,
1930,12.119,0.29636,1.11,4.04,-0.009,[ 9.34143183 13.72714466 24.31093759 44.43018521],[1.593 2.503 2.403 2.736],[-0.067 -0.094 -0.099 -0.107],[0.105 0.146 0.118 0.149],[114.  73.  45.  23.],[29.4 62.5 48.9 50.5],[18.7 37.9 31.8 29.4],[5890.  4289.6 3212.  1932.3],4,9.34143183,44.43018521,22.9524248225,35.08875338,0.6772646747848301,0.5899875851798048,0.6893608273297146,0.05825334029853097,0.07065584484291407,0.04184772137112839,0.635307873892208,1.593,2.736,2.3087500000000003,1.1430000000000002,0.4305394145719995,0.18648160891044915,0.09075133097398183,0.12737772965168742,0,1,3,0,
1931,14.531,2.49904,0.87,4.539,-0.002,[ 4.97759177  6.98795025 10.55837881],[1.288 1.06  1.064],[-0.068 -0.065 -0.065],[0.099 0.086 0.095],[265. 184. 123.],[27.5 17.1 14.6],[27.3 16.1 12.9],[6303.3 5179.7 3734.5],3,4.97759177,10.55837881,7.5079736100000005,5.580787040000001,0.3265779637189191,0.3073837808219586,0.4574112518265596,0.031013445059899565,0.03672916668200353,0.015961145192582384,0.7781972183665636,1.06,1.288,1.1373333333333333,0.22799999999999998,0.10654993612803758,0.093684000112577,0.03954814301419073,0.0668229777256741,0,3,0,0,
1952,12.197,0.80557,1.09,4.289,-0.373,[ 5.1956508   8.01037667 27.66672706 42.47268804],[1.29  2.029 2.133 2.168],[-0.087 -0.102 -0.113 -0.126],[0.116 0.153 0.17  0.19 ],[251. 162.  46.  32.],[16.  34.6 24.4 22.8],[14.6 29.2 20.4 16.7],[7784.1 6017.7 2425.5 1954.2],4,5.1956508,42.47268804,20.836360642499997,37.27703724,0.9124697933574547,0.7294001507493338,1.1769205095270454,0.44779574641167025,0.29379527628552093,0.16896160339476943,0.6930185902902085,1.29,2.168,1.905,0.8780000000000001,0.35873179396312227,0.1883106529990143,0.09351358073958044,0.11977252843394576,0,1,3,0,
1955,12.655,0.07475,1.84,3.676,0.083,[ 1.64422616 15.1701932  26.23467287 39.45791107],[0.961 2.065 1.846 2.752],[-0.053 -0.075 -0.09  -0.124],[0.058 0.082 0.11  0.112],[810.  90.  47.  31.],[24.1 45.4 22.  41.6],[17.5 32.2 15.  24. ],[20382.1  3317.5  1516.7  2533.3],4,1.64422616,39.45791107,20.626750825000002,37.81368491,1.3801725360197634,0.6753331523537314,3.153245149717588,0.7773629827319573,0.6197808547140755,0.39138137065223727,0.5086497756072614,0.961,2.752,1.906,1.791,0.6398480288318469,0.3357020088309795,0.1697782901662001,0.24449108079748164,1,1,2,0,
1992,15.264,0.40653,0.98,4.076,0.034,[12.79823365 27.32130233 85.5160012 ],[2.641 2.29  2.374],[-0.126 -0.153 -0.18 ],[0.176 0.215 0.216],[108.  49.  15.],[38.2 14.9 12.9],[31.2 11.9 11.2],[5712.5 1377.2  819.4],3,12.79823365,85.5160012,41.87851239333333,72.71776755,0.824897350130656,0.7502852127347308,1.6323916133580014,0.12880341417952806,0.1890373287152113,0.0834721640027176,0.8823692072942984,2.29,2.641,2.435,0.351,0.14964624953536254,0.06145636531226387,0.026307643262271932,0.04804928131416837,0,0,3,0,
2004,13.351,0.38669,1.13,4.244,0.275,[ 1.72109733  3.18896922 56.18834277],[0.906 1.317 3.01 ],[-0.089 -0.075 -0.133],[0.113 0.098 0.173],[730. 410.  24.],[ 9.3 18.4 35.6],[ 8.2 15.7 28.2],[13808.1 10199.5  1371.4],3,1.72109733,56.18834277,20.366136440000002,54.46724544,1.513840792251157,1.2440853792429851,8.736231860893286,0.9190944071115208,0.8096933392745813,0.5410854294869347,0.34902283550517504,0.906,3.01,1.7443333333333333,2.1039999999999996,0.9105545318955671,0.5220071843467803,0.22507391004460087,0.4020638257213835,1,1,1,0,
