KOI,kepmag,rhostar,mstar,logg,[M/H],TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,minper,maxper,meanper,perrange,lograngep,normstdp,meandpp,gapc,gini,qdisp,meanzeta,minrad,maxrad,meanrad,radrange,stdr,normstdr,qdispr,gini_r,subearth,supearth,subnep,nepplus,Unnamed: 38,N_first,N_second,deltas,min_abs_delta,med_abs_delta,res_summary
1931,14.531,2.49904,0.87,4.539,-0.002,[ 4.97759177  6.98795025 10.55837881],[1.288 1.06  1.064],[-0.068 -0.065 -0.065],[0.099 0.086 0.095],[265. 184. 123.],[27.5 17.1 14.6],[27.3 16.1 12.9],[6303.3 5179.7 3734.5],3,4.97759177,10.55837881,7.50797361,5.580787040000001,0.3265779637189191,0.3073837808219586,0.4574112518265596,0.0310134450598995,0.0367291666820035,0.0159611451925823,0.7781972183665636,1.06,1.288,1.1373333333333333,0.2279999999999999,0.1065499361280375,0.093684000112577,0.0395481430141907,0.0668229777256741,0,3,0,0,,1,1,[0.00277268 0.00729384],0.002772679309996029,0.005033257194706264,[1.4 1.5]
1952,12.197,0.80557,1.09,4.289,-0.373,[ 5.1956508   8.01037667 27.66672706 42.47268804],[1.29  2.029 2.133 2.168],[-0.087 -0.102 -0.113 -0.126],[0.116 0.153 0.17  0.19 ],[251. 162.  46.  32.],[16.  34.6 24.4 22.8],[14.6 29.2 20.4 16.7],[7784.1 6017.7 2425.5 1954.2],4,5.1956508,42.47268804,20.8363606425,37.27703724,0.9124697933574548,0.7294001507493338,1.1769205095270454,0.4477957464116702,0.2937952762855209,0.1689616033947694,0.6930185902902085,1.29,2.168,1.905,0.8780000000000001,0.3587317939631222,0.1883106529990143,0.0935135807395804,0.1197725284339457,0,1,3,0,,2,0,[0.02783103 0.15128698 0.02343603],0.02343603197421351,0.027831030009432656,[1.5 0.  1.5]
1955,12.655,0.07475,1.84,3.676,0.083,[ 1.64422616 15.1701932  26.23467287 39.45791107],[0.961 2.065 1.846 2.752],[-0.053 -0.075 -0.09  -0.124],[0.058 0.082 0.11  0.112],[810.  90.  47.  31.],[24.1 45.4 22.  41.6],[17.5 32.2 15.  24. ],[20382.1  3317.5  1516.7  2533.3],4,1.64422616,39.45791107,20.626750825,37.81368491,1.3801725360197634,0.6753331523537314,3.153245149717588,0.7773629827319573,0.6197808547140755,0.3913813706522372,0.5086497756072614,0.961,2.752,1.906,1.791,0.6398480288318469,0.3357020088309795,0.1697782901662001,0.2444910807974816,1,1,2,0,,1,0,[2.0754474  0.03761393 0.00269114],0.0026911399664297786,0.03761392583978429,[0.  0.  1.5]
1992,15.264,0.40653,0.98,4.076,0.034,[12.79823365 27.32130233 85.5160012 ],[2.641 2.29  2.374],[-0.126 -0.153 -0.18 ],[0.176 0.215 0.216],[108.  49.  15.],[38.2 14.9 12.9],[31.2 11.9 11.2],[5712.5 1377.2  819.4],3,12.79823365,85.5160012,41.87851239333333,72.71776755,0.824897350130656,0.7502852127347308,1.6323916133580014,0.128803414179528,0.1890373287152113,0.0834721640027176,0.8823692072942984,2.29,2.641,2.435,0.351,0.1496462495353625,0.0614563653122638,0.0263076432622719,0.0480492813141683,0,0,3,0,,0,0,[0.06738567 0.0433373 ],0.043337297359841154,0.05536148233904048,[0. 0.]
2004,13.351,0.38669,1.13,4.244,0.275,[ 1.72109733  3.18896922 56.18834277],[0.906 1.317 3.01 ],[-0.089 -0.075 -0.133],[0.113 0.098 0.173],[730. 410.  24.],[ 9.3 18.4 35.6],[ 8.2 15.7 28.2],[13808.1 10199.5  1371.4],3,1.72109733,56.18834277,20.36613644,54.46724544,1.513840792251157,1.2440853792429851,8.736231860893286,0.9190944071115208,0.8096933392745813,0.5410854294869347,0.349022835505175,0.906,3.01,1.7443333333333333,2.104,0.9105545318955672,0.5220071843467803,0.2250739100446008,0.4020638257213835,1,1,1,0,,0,0,[-0.07356511  4.87319798],0.07356511325248527,2.4733815480081662,[0. 0.]
2025,13.781,0.68907,1.27,4.266,-0.073,[11.18965384 17.84848231 26.13621077],[1.664 2.748 2.636],[-0.091 -0.119 -0.109],[0.107 0.151 0.169],[119.  70.  53.],[19.9 43.5 38.1],[12.1 30.  24.6],[5229.3 3544.7 2913.2],3,11.18965384,26.13621077,18.391448973333336,14.946556930000002,0.3684259722348342,0.3324356394938584,0.5297129853054134,0.0329874728546492,0.0427367699645921,0.0185758975826043,0.7097697839972479,1.664,2.748,2.349333333333333,1.0840000000000003,0.4867561561557857,0.2071890562524627,0.0992829707039088,0.1538024971623155,0,1,2,0,,0,0,[-0.04294721 -0.02377467],0.023774671106289058,0.03336094237206644,[0. 0.]
2028,15.99,2.19885,0.83,4.541,-0.068,[ 37.05503257  57.2486346  142.546674  ],[2.607 3.087 2.451],[-0.18  -0.16  -0.181],[0.215 0.231 0.214],[37. 23.  9.],[23.2 29.8 13.7],[22.7 27.8 11.7],[ 872.1 1105.3  361. ],3,37.05503257,142.546674,78.95011372333333,105.49164143,0.5851098891654183,0.5790869015247369,1.017460044765777,0.3723422383896069,0.2342041802580212,0.1043584805626579,0.740776829746904,2.451,3.087,2.7150000000000003,0.6360000000000001,0.2706436771845963,0.0996845956481017,0.0424045048320201,0.0780847145488029,0,0,3,0,,1,0,[ 0.02997498 -0.17001413],0.029974979185398043,0.09999455280045633,[1.5 0. ]
2029,13.831,0.21597,1.16,3.917,0.019,[ 4.78847692  6.88724533 10.05538883 16.33270729],[0.599 0.667 0.875 1.255],[-0.078 -0.062 -0.055 -0.08 ],[0.071 0.075 0.077 0.115],[259. 188. 139.  81.],[ 7.2  8.1 13.6 17.5],[ 9.9 11.2 17.2 24.7],[5133.  4032.  3097.2 1556.6],4,4.78847692,16.33270729,9.515954592499998,11.544230369999998,0.5328607803335925,0.4581172209879589,0.5075237401739159,0.0300341042970226,0.0411222834253651,0.0235214129382211,0.8536103598176691,0.599,1.255,0.849,0.6559999999999999,0.255507338446472,0.3009509286766454,0.1254069695216445,0.2135846093443266,3,1,0,0,,0,0,[ 0.02735401 -0.02666564 -0.02543556],0.025435561003562146,0.026665635949789324,[0. 0. 0.]
2037,15.213,2.70479,0.82,4.569,0.192,[ 5.477158    8.56266099 73.75811578],[1.74  1.827 3.113],[-0.135 -0.155 -0.194],[0.203 0.186 0.28 ],[208. 136.  15.],[16.7 15.2 20.2],[22.8 18.7 29.9],[2801.4 1985.5  361. ],3,5.477158,73.75811578,29.265978256666667,68.28095778,1.129254544492897,1.0758533099582586,4.088632352029105,0.93219898743737,0.6927779335730476,0.3968393825978864,0.5343177781593066,1.74,3.113,2.2266666666666666,1.373,0.627737914171901,0.2819182249275004,0.1155141669854603,0.2055389221556886,0,2,1,0,,0,0,[0.04222676 1.87130819],0.042226764318283205,0.9567674750892725,[0. 0.]
2038,14.779,2.05969,0.95,4.492,0.116,[ 8.30542284 12.51345816 17.91327996 25.21486084],[2.823 1.771 1.196 1.225],[-1.382 -0.089 -0.087 -0.118],[5.183 0.139 0.116 0.141],[158. 110.  74.  53.],[28.5 30.  11.4  9.9],[21.8 19.9  8.3  8.7],[4827.2 3846.3 2759.4 2624.6],4,8.30542284,25.21486084,15.98675545,16.909438,0.4822948277910683,0.3955331706728882,0.4485964891098147,0.0105119157237677,0.022793104679617,0.012559746969889,0.7970206228204141,1.196,2.823,1.7537499999999997,1.627,0.6584555319078123,0.3754557558989664,0.1538496666898641,0.2578759800427655,0,3,1,0,,1,1,[0.00444079 0.0225151  0.00543367],0.004440785341159215,0.0054336741195153415,[1.5 0.  1.4]
